Username,FirstName,LastName,Email,Password
up0000000,Petros,Papadopoulos,up0000000@ac.upatras.gr,3CatsPlay@ThePark2024
up0000001,Kostas,Georgiou,up0000001@ac.upatras.gr,5Bikes!Riding2Fun
up0000002,Lefteris,Christodoulou,up0000002@ac.upatras.gr,9TreesIn!TheGarden
up0000003,Eleni,Markopoulos,up0000003@ac.upatras.gr,7StarsShine@NightSky
up0000004,Spyros,Dimitriou,up0000004@ac.upatras.gr,2SunnyDays^InGreece
up0000005,Georgia,Nikolaidis,up0000005@ac.upatras.gr,4Seasons&RainyDays
up0000006,Dimitris,Vasilakis,up0000006@ac.upatras.gr,8BooksOn^TheShelf
up0000007,Theodora,Kouris,up0000007@ac.upatras.gr,6ColorsIn!TheRainbow
up0000008,Elena,Athanasiou,up0000008@ac.upatras.gr,5Songs^InTheMorning
up0000009,Nikos,Pappas,up0000009@ac.upatras.gr,3Lakes@TheAdventure
up0000010,Michalis,Stavrakis,up0000010@ac.upatras.gr,8Mountains&SunnyDays
up0000011,Antonis,Economou,up0000011@ac.upatras.gr,9CatsPlaying*InTheYard
up0000012,Stavros,Laskaris,up0000012@ac.upatras.gr,4LionsIn!TheZoo
up0000013,Sophia,Sotiropoulos,up0000013@ac.upatras.gr,7Fish^SwimInOcean2024
up0000014,Anastasia,Angelopoulos,up0000014@ac.upatras.gr,2BirdsFlying!HighSky
up0000015,Fotis,Sykas,up0000015@ac.upatras.gr,3Cars&Fast!Rides2024
up0000016,Alexis,Mavridis,up0000016@ac.upatras.gr,6Kites@TheBeach*Fun
up0000017,Maria,Konstantinou,up0000017@ac.upatras.gr,8FlowersIn!TheGarden2024
up0000018,Athena,Xenakis,up0000018@ac.upatras.gr,5Waves^OnTheShore
up0000019,Andreas,Zisimopoulos,up0000019@ac.upatras.gr,4Stars!AtNightSky2023
up0000020,Irini,Kalogeras,up0000020@ac.upatras.gr,7Dreams*InTheSky2024
up0000021,Panagiotis,Tsakiris,up0000021@ac.upatras.gr,9Clouds&Blue!Skies2024
up0000022,Despoina,Economides,up0000022@ac.upatras.gr,6Paths!ToAdventure2023
up0000023,Nikolas,Papadimitriou,up0000023@ac.upatras.gr,3Rivers&Fishing@Fun2024
up0000024,Yannis,Kouroupos,up0000024@ac.upatras.gr,2Wolves*InTheForest2024
up0000025,Christos,Georgopoulos,up0000025@ac.upatras.gr,5HorsesRunning^InFields
up0000026,Vasilis,Michalopoulos,up0000026@ac.upatras.gr,8Fireflies@SummerNight
up0000027,Paraskevi,Vranas,up0000027@ac.upatras.gr,6Wishes&Happy!Thoughts
up0000028,Ioannis,Tzortzopoulos,up0000028@ac.upatras.gr,9BalloonsIn!TheAir
up0000029,Angeliki,Roussos,up0000029@ac.upatras.gr,4Magic@InTheFairytale
up0000030,Dimitris,Koutsouvelis,up0000030@ac.upatras.gr,7Candles&WarmLights2023
up0000031,Dimitris,Vasilakis,up0000031@ac.upatras.gr,5Fruits!InTheBasket2024
frontdesk,Eleni,Papadopoulou,frontdesk@ac.upatras.gr,root
